date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_15_37    354,-993,559,355,461,657,510,2,123,113,2,2,1,786,558,1,476,519,1.0,1,1
2014_11_11_15_15_37    371,-968,524,357,465,656,510,2,118,116,1,3,2,784,558,1,477,518,1.0,1,1
2014_11_11_15_15_37    487,-1050,513,370,476,673,513,1,173,128,17,3,1,779,580,2,509,526,1.0,1,1
2014_11_11_15_15_37    342,-872,537,384,490,697,513,1,286,146,24,1,2,760,585,1,516,524,1.0,1,1
2014_11_11_15_15_37    311,-968,568,382,444,686,494,2,276,129,33,2,2,762,545,1,481,524,1.0,1,1
2014_11_11_15_15_37    313,-916,544,379,398,676,499,2,264,131,27,1,2,763,501,2,490,526,1.0,1,1
2014_11_11_15_15_37    342,-1081,572,379,400,684,496,1,271,144,27,3,2,764,513,2,496,528,1.0,1,1
2014_11_11_15_15_37    355,-1001,516,381,406,684,498,2,275,148,28,2,2,765,536,1,495,528,1.0,1,1
2014_11_11_15_15_37    350,-1005,503,381,423,684,500,2,276,141,31,1,1,770,518,2,507,527,1.0,1,1
2014_11_11_15_15_37    363,-996,553,378,418,673,501,1,191,143,25,2,2,771,530,2,487,525,1.0,1,1
2014_11_11_15_15_37    384,-1035,519,376,419,670,501,2,192,142,27,2,2,771,533,0,491,527,1.0,1,1
2014_11_11_15_15_37    367,-977,520,375,409,666,501,1,194,137,29,2,0,771,514,2,491,524,1.0,1,1
2014_11_11_15_15_38    360,-983,568,375,412,684,504,2,280,133,27,2,1,772,517,2,498,527,1.0,1,1
2014_11_11_15_15_38    386,-1032,555,377,421,685,515,2,283,167,29,2,2,778,512,2,488,529,1.0,1,1
2014_11_11_15_15_38    399,-997,550,381,438,687,517,2,267,202,33,2,2,781,508,2,492,527,1.0,1,1
2014_11_11_15_15_38    375,-976,492,378,409,665,516,1,266,146,41,2,2,786,537,2,478,529,1.0,1,1
2014_11_11_15_15_38    404,-1028,529,366,393,654,495,2,175,124,32,2,2,786,536,1,498,523,1.0,1,1
2014_11_11_15_15_38    412,-1037,536,359,394,652,502,2,168,121,21,2,1,786,517,1,485,520,1.0,1,1
2014_11_11_15_15_38    380,-977,511,356,378,653,505,2,146,113,26,2,2,785,483,2,500,520,1.0,1,1
2014_11_11_15_15_38    380,-977,511,356,378,653,505,2,146,113,26,2,2,785,483,2,500,520,1.0,1,1
2014_11_11_15_15_38    374,-949,521,362,383,654,498,1,170,115,24,2,2,786,520,0,503,518,1.0,1,1
2014_11_11_15_15_38    388,-984,550,367,408,656,499,2,168,127,27,2,2,787,526,2,491,521,1.0,1,1
2014_11_11_15_15_38    393,-993,560,370,407,662,498,1,175,127,27,2,1,788,538,1,476,523,1.0,1,1
2014_11_11_15_15_38    387,-977,521,374,416,666,524,1,189,139,43,2,1,785,534,2,504,525,1.0,1,1
2014_11_11_15_15_38    387,-984,540,377,413,673,523,1,186,152,35,2,2,795,490,1,513,523,1.0,1,1
2014_11_11_15_15_38    380,-945,535,380,405,666,513,1,249,137,39,1,1,795,487,1,523,536,1.0,1,1
2014_11_11_15_15_38    376,-941,516,383,416,667,517,2,272,160,38,1,2,795,556,4,511,534,1.0,1,1
