date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_16_39    408,-961,479,465,558,714,547,1,346,200,3,1,40,777,578,1,580,826,2.0,1,0
2014_11_11_15_16_39    374,-968,510,463,556,714,545,2,354,244,3,1,41,776,580,2,581,828,2.0,1,0
2014_11_11_15_16_39    415,-1009,494,467,559,715,544,2,351,223,1,1,41,776,579,2,582,831,2.0,1,0
2014_11_11_15_16_39    422,-1012,504,461,551,714,548,1,342,240,27,3,38,772,594,0,586,828,2.0,1,0
2014_11_11_15_16_39    401,-993,486,461,556,713,551,1,343,244,23,1,38,770,587,2,588,831,2.0,1,0
2014_11_11_15_16_39    423,-981,475,464,475,713,543,0,325,214,2,1,20,772,586,2,588,831,2.0,1,0
2014_11_11_15_16_39    407,-1032,479,462,468,711,546,2,329,209,2,1,15,771,595,1,603,831,2.0,1,0
2014_11_11_15_16_39    412,-989,491,462,471,712,544,1,331,189,2,1,10,771,590,0,594,831,2.0,1,0
2014_11_11_15_16_39    439,-1053,497,464,470,709,545,1,329,181,34,1,9,774,594,2,598,832,2.0,1,0
2014_11_11_15_16_39    435,-1012,495,456,466,707,539,2,328,179,2,2,2,771,583,2,589,824,2.0,1,0
2014_11_11_15_16_39    423,-1024,471,460,466,703,527,1,299,160,1,1,1,771,579,2,585,826,2.0,1,0
2014_11_11_15_16_39    424,-1005,476,464,476,703,529,1,294,160,1,2,1,772,578,2,576,826,2.0,1,0
2014_11_11_15_16_39    419,-1017,480,452,519,707,529,3,297,159,1,2,2,774,573,0,592,824,2.0,1,0
2014_11_11_15_16_39    432,-1002,473,450,521,707,528,2,298,161,2,2,3,772,577,2,590,824,2.0,1,0
