date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_18_45    369,-992,543,342,437,663,705,1,343,196,2,3,2,725,518,433,831,808,1.0,1,1
2014_11_11_15_18_45    368,-973,556,342,431,663,706,2,348,195,2,2,2,726,517,433,832,809,1.0,1,1
2014_11_11_15_18_45    368,-973,556,342,431,663,706,2,348,195,2,2,2,726,517,433,832,809,1.0,1,1
2014_11_11_15_18_45    376,-965,543,342,373,664,701,2,354,191,2,1,2,725,516,432,832,810,1.0,1,1
2014_11_11_15_18_45    368,-977,561,342,365,664,702,2,359,189,2,2,2,720,502,431,832,809,1.0,1,1
2014_11_11_15_18_45    360,-977,563,340,356,664,678,2,358,179,2,2,1,724,481,430,832,809,1.0,1,1
2014_11_11_15_18_45    385,-996,543,325,354,664,586,2,361,178,1,2,1,714,515,431,832,807,1.0,1,1
2014_11_11_15_18_45    364,-981,560,322,385,662,575,1,358,174,2,2,0,700,511,430,833,807,1.0,1,1
2014_11_11_15_18_45    368,-1010,551,322,342,662,575,2,361,178,2,2,2,700,518,427,832,806,1.0,1,1
2014_11_11_15_18_45    348,-994,551,322,337,665,591,2,358,181,2,2,1,698,503,426,837,807,1.0,1,1
2014_11_11_15_18_45    366,-953,574,320,360,664,574,1,356,178,2,1,1,695,499,425,837,808,1.0,1,1
2014_11_11_15_18_45    371,-977,561,321,331,664,574,1,362,183,1,1,3,694,488,425,840,808,1.0,1,1
2014_11_11_15_18_45    369,-993,559,319,316,665,576,3,359,188,2,3,1,694,483,424,842,808,1.0,1,1
2014_11_11_15_18_45    369,-993,559,319,316,665,576,3,359,188,2,3,1,694,483,424,842,808,1.0,1,1
2014_11_11_15_18_45    380,-992,550,321,302,665,575,2,359,189,1,2,1,696,498,423,843,807,1.0,1,1
2014_11_11_15_18_46    372,-945,560,321,285,650,560,2,349,172,2,2,2,694,481,422,844,809,1.0,1,1
